pup_tagleft,dam_origin_tag_left,dam_rearing_tag_left,pup_alpha_taglft,dam_origin_alpha_taglft,dam_rearing_alpha_taglft
42945,34793,36370,D2945,C4793,C6370
42947,36370,36370,D2947,C6370,C6370
42947,36370,36370,D2947,C6370,C6370
42949,34793,36370,D2949,C4793,C6370
42949,34793,36370,D2949,C4793,C6370
42952,29365,34552,D2952,B9365,C4552
42952,29365,34552,D2952,B9365,C4552
42953,29365,34552,D2953,B9365,C4552
42953,29365,34552,D2953,B9365,C4552
42955,34552,34552,D2955,C4552,C4552
42955,34552,34552,D2955,C4552,C4552
42957,34552,29365,D2957,C4552,B9365
42957,34552,29365,D2957,C4552,B9365
42959,34552,29365,D2959,C4552,B9365
42959,34552,29365,D2959,C4552,B9365
42961,29365,29365,D2961,B9365,B9365
42961,29365,29365,D2961,B9365,B9365
42971,42517,34805,D2971,D2517,C4805
42971,42517,34805,D2971,D2517,C4805
42973,34805,34805,D2973,C4805,C4805
42973,34805,34805,D2973,C4805,C4805
42993,36357,36357,D2993,C6357,C6357
42993,36357,36357,D2993,C6357,C6357
42995,12971,36357,D2995,A2971,C6357
42995,12971,36357,D2995,A2971,C6357
42997,36357,36357,D2997,C6357,C6357
42997,36357,36357,D2997,C6357,C6357
42999,12971,36357,D2999,A2971,C6357
42999,12971,36357,D2999,A2971,C6357
 ,19243,19243,,A9243,A9243
 ,19243,19243,,A9243,A9243
 ,19377,19377,,A9377,A9377
 ,22998,19377,,B2998,A9377
 ,22998,19377,,B2998,A9377
 ,36026,19427,,C6026,A9427
 ,36026,19427,,C6026,A9427
 ,19201,36223,,A9201,C6223
 ,19480,36590,,A9480,C6590
 ,36590,36590,,C6590,C6590
 ,34984,41086,,C4984,D1086
,12971,12971,,A2971,A2971
,12971,12971,,A2971,A2971
,12971,12971,,A2971,A2971
,12971,12971,,A2971,A2971
,36357,12971,,C6357,A2971
,36357,12971,,C6357,A2971
,36357,12971,,C6357,A2971
,36357,12971,,C6357,A2971
,15087,15087,,A5087,A5087
,15087,15087,,A5087,A5087
,15087,15087,,A5087,A5087
,15087,15087,,A5087,A5087
,29467,15087,,B9467,A5087
,29467,15087,,B9467,A5087
,16998,16998,,A6998,A6998
,16998,16998,,A6998,A6998
,16998,16998,,A6998,A6998
,16998,16998,,A6998,A6998
,42242,16998,,D2242,A6998
,42242,16998,,D2242,A6998
,19253,19253,,A9253,A9253
,19253,19253,,A9253,A9253
,36357,19253,,C6357,A9253
,36357,19253,,C6357,A9253
,19259,19259,,A9259,A9259
,19259,19259,,A9259,A9259
,19271,19271,,A9271,A9271
,19271,19271,,A9271,A9271
,19535,19535,,A9535,A9535
,22457,22457,,B2457,B2457
,22457,22457,,B2457,B2457
,36022,22457,,C6022,B2457
,36022,22457,,C6022,B2457
,36022,22457,,C6022,B2457
,36022,22457,,C6022,B2457
,22640,22640,,B2640,B2640
,22640,22640,,B2640,B2640
,34278,22640,,C4278,B2640
,34278,22640,,C4278,B2640
,22457,22951,,B2457,B2951
,22457,22951,,B2457,B2951
,22951,22951,,B2951,B2951
,22951,22951,,B2951,B2951
,23972,23972,,B3972,B3972
,23972,23972,,B3972,B3972
,36638,23972,,C6638,B3972
,36638,23972,,C6638,B3972
,29404,29404,,B9404,B9404
,29404,29404,,B9404,B9404
,42376,29404,,D2376,B9404
,42376,29404,,D2376,B9404
,15087,29467,,A5087,B9467
,15087,29467,,A5087,B9467
,29467,29467,,B9467,B9467
,29467,29467,,B9467,B9467
,34793,34793,,C4793,C4793
,34793,34793,,C4793,C4793
,36370,34793,,C6370,C4793
,36370,34793,,C6370,C4793
,36370,34793,,C6370,C4793
,36370,34793,,C6370,C4793
,42517,34805,,D2517,C4805
,42517,34805,,D2517,C4805
,36022,36022,,C6022,C6022
,36022,36022,,C6022,C6022
,36309,36309,,C6309,C6309
,36311,36309,,C6311,C6309
,36311,36309,,C6311,C6309
,19253,36357,,A9253,C6357
,36357,36357,,C6357,C6357
,36357,36357,,C6357,C6357
,36357,36357,,C6357,C6357
,20126,36363,,B0126,C6363
,20126,36363,,B0126,C6363
,36363,36363,,C6363,C6363
,36682,36682,,C6682,C6682
,36682,36682,,C6682,C6682
,41060,36682,,D1060,C6682
,19533,36801,,A9533,C6801
,19533,36801,,A9533,C6801
,19533,36801,,A9533,C6801
,19533,36801,,A9533,C6801
,36801,36801,,C6801,C6801
,36801,36801,,C6801,C6801
,36853,36867,,C6853,C6867
,36853,36867,,C6853,C6867
,36853,36867,,C6853,C6867
,36853,36867,,C6853,C6867
,36867,36867,,C6867,C6867
,36867,36867,,C6867,C6867
,36867,36867,,C6867,C6867
,36867,36867,,C6867,C6867
,19406,42093,,A9406,D2093
,19406,42093,,A9406,D2093
,19406,42093,,A9406,D2093
,19406,42093,,A9406,D2093
,42093,42093,,D2093,D2093
,42093,42093,,D2093,D2093
,42224,42224,,D2224,D2224
,42224,42224,,D2224,D2224
,42768,42224,,D2768,D2224
,42768,42224,,D2768,D2224
,42768,42224,,D2768,D2224
,42768,42224,,D2768,D2224
,42244,42264,,D2244,D2264
,42244,42264,,D2244,D2264
,42264,42264,,D2264,D2264
,42264,42264,,D2264,D2264
,42264,42264,,D2264,D2264
,42264,42264,,D2264,D2264
,42270,42270,,D2270,D2270
,42270,42270,,D2270,D2270
,42280,42270,,D2280,D2270
,42280,42270,,D2280,D2270
,42280,42270,,D2280,D2270
,42280,42270,,D2280,D2270
,34805,42517,,C4805,D2517
,34805,42517,,C4805,D2517
,34805,42517,,C4805,D2517
,34805,42517,,C4805,D2517
,42517,42517,,D2517,D2517
,42517,42517,,D2517,D2517
,42224,42768,,D2224,D2768
,42224,42768,,D2224,D2768
,42224,42768,,D2224,D2768
,42224,42768,,D2224,D2768
,42768,42768,,D2768,D2768
,42768,42768,,D2768,D2768
